customer_order_id,date_of_order,order_status,sales_rep,product_count_units,product_count_cases,total,paid,buyer_licenses
BC 18595,2024-11-20 3:14 PM,Accepted,Zak Young,1971,37,"$16,385.09",FALSE,AU-R-000805
BC 18594,2024-11-20 2:00 PM,Submitted,Zak Young,460,13,"$6,270.00",FALSE,AU-R-000732
BC 18593,2024-11-20 10:45 AM,Submitted,Nathan Eckhart,380,7,"$5,430.00",FALSE,AU-R-000941
BC 18592,2024-11-20 9:46 AM,Fulfilled,Dominic Mika,1550,31,$0.31,FALSE,AU-P-000518
BC 18591,2024-11-20 6:40 AM,Submitted,Zak Young,1130,21,"$12,929.10",FALSE,AU-R-001153
BC 18589,2024-11-19 3:56 PM,Fulfilled,Patrick Savich,1400,25,"$15,565.00",FALSE,AU-P-000481
BC 18588,2024-11-19 1:51 PM,Fulfilled,Patrick Savich,840,14,"$11,760.00",FALSE,AU-R-000108
BC 18587,2024-11-19 1:37 PM,Fulfilled,Casey Berg,1070,19,"$14,700.10",FALSE,AU-R-001121
BC 18586,2024-11-19 12:54 PM,Fulfilled,Patrick Savich,969,19,"$9,115.09",FALSE,AU-R-000652
BC 18585,2024-11-19 11:12 AM,Fulfilled,Patrick Savich,1265,22,"$14,072.65",FALSE,AU-R-000966
BC 18584,2024-11-19 10:58 AM,Fulfilled,Patrick Savich,360,6,"$5,220.00",FALSE,AU-R-000218
BC 18583,2024-11-19 10:51 AM,Shipped,Zak Young,180,3,$150.03,FALSE,AU-R-000282
BC 18582,2024-11-19 10:50 AM,Submitted,Nathan Eckhart,456,10,"$5,400.10",FALSE,AU-R-000225
BC 18581,2024-11-19 9:37 AM,Fulfilled,Zak Young,710,13,"$9,600.10",FALSE,AU-R-000583
BC 18580,2024-11-18 6:51 PM,Fulfilled,Patrick Savich,875,16,"$7,735.15",FALSE,AU-R-000710
BC 18578,2024-11-18 6:09 PM,Submitted,Nathan Eckhart,300,5,"$4,290.00",FALSE,AU-RA-001073
BC 18577,2024-11-18 6:08 PM,Submitted,Nathan Eckhart,240,4,"$3,360.00",FALSE,AU-R-000339
BC 18576,2024-11-18 6:05 PM,Submitted,Nathan Eckhart,720,12,"$10,020.00",FALSE,AU-R-000666
